year,country,iosCode,flag_url,population,area,landArea,density,growthRate,worldPercentage,rank,netChange
1980,kuwait,KW,https://s3.amazonaws.com/images.wpr.com/flags/24/KW.png,1493870.0,17818.0,17820.0,241.8691,0.0097,0.0005,129,0.0013
1980,croatia,HR,https://s3.amazonaws.com/images.wpr.com/flags/24/HR.png,4680144.0,56594.0,55960.0,71.6336,-0.0054,0.0005,130,-0.0007
1980,eritrea,ER,https://s3.amazonaws.com/images.wpr.com/flags/24/ER.png,1657982.0,117600.0,121040.8,30.9722,0.0176,0.0005,131,0.0021
1980,georgia,GE,https://s3.amazonaws.com/images.wpr.com/flags/24/GE.png,5145843.0,69700.0,69490.0,53.6521,-0.0043,0.0005,132,-0.0005
1980,mongolia,MN,https://s3.amazonaws.com/images.wpr.com/flags/24/MN.png,1697780.0,1564110.0,1557506.8,2.2133,0.0144,0.0004,133,0.0015
1980,moldova,MD,https://s3.amazonaws.com/images.wpr.com/flags/24/MD.png,4103240.0,33846.0,32884.6,104.4845,0.0498,0.0004,134,-0.0039
1980,uruguay,UY,https://s3.amazonaws.com/images.wpr.com/flags/24/UY.png,2953750.0,181034.0,175020.0,19.5584,0.0001,0.0004,135,0.0
1980,puerto rico,PR,https://s3.amazonaws.com/images.wpr.com/flags/24/PR.png,3214568.0,8870.0,8870.0,367.5664,0.0024,0.0004,136,0.0003
1980,bosnia and herzegovina,BA,https://s3.amazonaws.com/images.wpr.com/flags/24/BA.png,4199820.0,51209.0,51200.0,62.7119,-0.007,0.0004,137,-0.0006
1980,albania,AL,https://s3.amazonaws.com/images.wpr.com/flags/24/AL.png,2941651.0,28748.0,27400.0,103.3737,-0.0035,0.0004,138,-0.0003
1980,jamaica,JM,https://s3.amazonaws.com/images.wpr.com/flags/24/JM.png,2135546.0,10991.0,10830.0,260.8997,-0.0006,0.0004,139,0.0
1980,armenia,AM,https://s3.amazonaws.com/images.wpr.com/flags/24/AM.png,3135123.0,29743.0,28470.0,97.5753,-0.0009,0.0003,140,0.0
1980,gambia,GM,https://s3.amazonaws.com/images.wpr.com/flags/24/GM.png,718586.0,10689.0,10120.0,274.0285,0.0248,0.0003,141,0.0022
1980,lithuania,LT,https://s3.amazonaws.com/images.wpr.com/flags/24/LT.png,3521206.0,65300.0,62620.0,43.4103,-0.0115,0.0003,142,-0.0008
1980,qatar,QA,https://s3.amazonaws.com/images.wpr.com/flags/24/QA.png,277450.0,11586.0,11490.0,236.4135,0.0079,0.0003,143,0.0007
1980,botswana,BW,https://s3.amazonaws.com/images.wpr.com/flags/24/BW.png,938578.0,582000.0,566730.0,4.7207,0.0171,0.0003,144,0.0014
1980,namibia,,https://s3.amazonaws.com/images.wpr.com/flags/24/NA.png,975994.0,825615.0,823290.0,3.1631,0.0145,0.0003,145,0.0012
1980,gabon,GA,https://s3.amazonaws.com/images.wpr.com/flags/24/GA.png,749078.0,267668.0,257670.0,9.4561,0.0199,0.0003,146,0.0015
1980,lesotho,LS,https://s3.amazonaws.com/images.wpr.com/flags/24/LS.png,1407672.0,30355.0,30360.0,76.7562,0.0106,0.0003,147,0.0008
1980,guinea bissau,GW,https://s3.amazonaws.com/images.wpr.com/flags/24/GW.png,2105566.0,36100.0,28100.0,76.0,2.15,-1.0,148,0.0
1980,slovenia,SI,https://s3.amazonaws.com/images.wpr.com/flags/24/SI.png,1901570.0,20273.0,20136.4,105.2658,-0.0001,0.0003,149,0.0
1980,north macedonia,MK,https://s3.amazonaws.com/images.wpr.com/flags/24/MK.png,1907023.0,25713.0,25220.0,82.6994,-0.0038,0.0003,150,-0.0002
1980,latvia,LV,https://s3.amazonaws.com/images.wpr.com/flags/24/LV.png,2572037.0,64559.0,62230.0,29.4104,-0.011,0.0002,151,-0.0006
1980,equatorial guinea,GQ,https://s3.amazonaws.com/images.wpr.com/flags/24/GQ.png,282509.0,28051.0,28050.0,61.1291,0.0237,0.0002,152,0.0013
1980,trinidad and tobago,TT,https://s3.amazonaws.com/images.wpr.com/flags/24/TT.png,1127852.0,5130.0,5130.0,299.208,0.0025,0.0002,153,0.0001
1980,bahrain,BH,https://s3.amazonaws.com/images.wpr.com/flags/24/BH.png,362595.0,765.0,785.0,1892.3682,0.009,0.0002,154,0.0004
1980,timor leste,TL,https://s3.amazonaws.com/images.wpr.com/flags/24/TL.png,1341296.0,14900.0,14900.0,91.0,1.44,-1.0,155,0.0
1980,estonia,EE,https://s3.amazonaws.com/images.wpr.com/flags/24/EE.png,1476983.0,45227.0,42750.0,30.9419,-0.0025,0.0002,156,-0.0001
1980,mauritius,MU,https://s3.amazonaws.com/images.wpr.com/flags/24/MU.png,954865.0,2040.0,2030.0,640.6685,0.0008,0.0002,157,0.0
1980,cyprus,CY,https://s3.amazonaws.com/images.wpr.com/flags/24/CY.png,679327.0,9251.0,9240.0,136.3786,0.0069,0.0002,158,0.0003
1980,eswatini,SZ,https://s3.amazonaws.com/images.wpr.com/flags/24/SZ.png,598564.0,17364.0,17200.0,70.3966,0.0076,0.0002,159,0.0003
1980,djibouti,DJ,https://s3.amazonaws.com/images.wpr.com/flags/24/DJ.png,324121.0,23200.0,23180.0,49.0274,0.0139,0.0001,160,0.0005
1980,reunion,RE,https://s3.amazonaws.com/images.wpr.com/flags/24/RE.png,551674.0,2511.0,2512.0,390.8424,0.008,0.0001,161,0.0002
1980,fiji,FJ,https://s3.amazonaws.com/images.wpr.com/flags/24/FJ.png,644582.0,18272.0,18270.0,51.2521,0.0071,0.0001,162,0.0002
1980,comoros,KM,https://s3.amazonaws.com/images.wpr.com/flags/24/KM.png,328328.0,1862.0,1861.0,457.8587,0.0183,0.0001,163,0.0005
1980,guyana,GY,https://s3.amazonaws.com/images.wpr.com/flags/24/GY.png,778176.0,214969.0,196850.0,4.1343,0.0063,0.0001,164,0.0002
1980,bhutan,BT,https://s3.amazonaws.com/images.wpr.com/flags/24/BT.png,415257.0,38394.0,38140.0,20.6456,0.0064,0.0001,165,0.0002
1980,solomon islands,SB,https://s3.amazonaws.com/images.wpr.com/flags/24/SB.png,233668.0,28896.0,27990.0,26.4532,0.0223,0.0001,166,0.0005
