flag_url,iosCode,country,population,area,landArea,density,growthRate,worldPercentage,rank,year
https://s3.amazonaws.com/images.wpr.com/flags/24/NA.png,NA,Namibia,"2,567,012",825.6K,823.3K,3,1.45%,0.03%,145,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/GA.png,GA,Gabon,"2,388,992",267.7K,257.7K,9,1.99%,0.03%,146,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/LS.png,LS,Lesotho,"2,305,825",30.4K,30.4K,77,1.06%,0.03%,147,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/GW.png,GW,Guinea Bissau,"2,105,566",36.1K,28.1K,76,2.15%,0.03%,148,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/SI.png,SI,Slovenia,"2,119,844",20.3K,20.1K,105,-0.01%,0.03%,149,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/MK.png,MK,North Macedonia,"2,093,599",25.7K,25.2K,83,-0.38%,0.03%,150,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/LV.png,LV,Latvia,"1,850,651",64.6K,62.2K,29,-1.1%,0.02%,151,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/GQ.png,GQ,Equatorial Guinea,"1,674,908",28.1K,28.1K,61,2.37%,0.02%,152,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/TT.png,TT,Trinidad And Tobago,"1,531,044",5.1K,5.1K,299,0.25%,0.02%,153,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/BH.png,BH,Bahrain,"1,472,233",765,785,"1,892",0.9%,0.02%,154,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/TL.png,TL,Timor Leste,"1,341,296",14.9K,14.9K,91,1.44%,0.02%,155,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/EE.png,EE,Estonia,"1,326,062",45.2K,42.8K,31,-0.25%,0.02%,156,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/MU.png,MU,Mauritius,"1,299,469",2K,2K,641,0.08%,0.02%,157,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/CY.png,CY,Cyprus,"1,251,488",9.3K,9.2K,136,0.69%,0.02%,158,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/SZ.png,SZ,Eswatini,"1,201,670",17.4K,17.2K,70,0.76%,0.02%,159,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/DJ.png,DJ,Djibouti,"1,120,849",23.2K,23.2K,49,1.39%,0.01%,160,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/RE.png,RE,Reunion,"974,052",2.5K,2.5K,391,0.8%,0.01%,161,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/FJ.png,FJ,Fiji,"929,766",18.3K,18.3K,51,0.71%,0.01%,162,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/KM.png,KM,Comoros,"836,774",1.9K,1.9K,458,1.83%,0.01%,163,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/GY.png,GY,Guyana,"808,726",215K,196.8K,4,0.63%,0.01%,164,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/BT.png,BT,Bhutan,"782,455",38.4K,38.1K,21,0.64%,0.01%,165,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/SB.png,SB,Solomon Islands,"724,273",28.9K,28K,26,2.23%,0.01%,166,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/MO.png,MO,Macau,"695,168",33,33,"21,403",1.29%,0.01%,167,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/LU.png,LU,Luxembourg,"647,599",2.6K,2.6K,254,1.11%,0.01%,168,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/ME.png,ME,Montenegro,"627,082",13.8K,13.4K,47,-0.1%,0.01%,169,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/SR.png,SR,Suriname,"618,040",163.8K,156K,4,0.84%,0.01%,170,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/CV.png,CV,Cape Verde,"593,149",4K,4K,148,0.93%,0.01%,171,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/EH.png,EH,Western Sahara,"575,986",266K,266K,2,1.96%,0.01%,172,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/MT.png,MT,Malta,"533,286",316,320,"1,672",0.33%,0.01%,173,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/MV.png,MV,Maldives,"523,787",300,300,"1,737",-0.53%,0.01%,174,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/BN.png,BN,Brunei,"449,002",5.8K,5.3K,86,0.78%,0.01%,175,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/BS.png,BS,Bahamas,"409,984",13.9K,10K,41,0.64%,0.01%,176,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/BZ.png,BZ,Belize,"405,272",23K,22.8K,18,1.37%,0.01%,177,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/GP.png,GP,Guadeloupe,"395,752",1.6K,1.6K,243,0.02%,0%,178,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/IS.png,IS,Iceland,"372,899",103K,100.8K,4,0.65%,0%,179,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/MQ.png,MQ,Martinique,"367,507",1.1K,1.1K,325,-0.14%,0%,180,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/YT.png,YT,Mayotte,"326,101",374,374,898,3.03%,0%,181,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/VU.png,VU,Vanuatu,"326,740",12.2K,12.2K,27,2.38%,0%,182,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/GF.png,GF,French Guiana,"304,557",83.5K,83.5K,4,2.49%,0%,183,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/PF.png,PF,French Polynesia,"306,279",4.2K,3.5K,89,0.85%,0%,184,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/NC.png,NC,New Caledonia,"289,950",18.6K,18.3K,16,1.05%,0%,185,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/BB.png,BB,Barbados,"281,635",430,430,656,0.13%,0%,186,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/ST.png,ST,Sao Tome And Principe,"227,380",964,960,242,1.97%,0%,187,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/WS.png,WS,Samoa,"222,382",2.8K,2.8K,81,1.48%,0%,188,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/CW.png,CW,Curacao,"191,163",444,444,433,0.48%,0%,189,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/LC.png,LC,Saint Lucia,"179,857",616,610,295,0.22%,0%,190,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/GU.png,GU,Guam,"171,774",549,540,320,0.69%,0%,191,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/KI.png,KI,Kiribati,"131,232",811,810,165,1.74%,0%,192,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/GD.png,GD,Grenada,"125,438",344,340,371,0.59%,0%,193,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/FM.png,FM,Micronesia,"114,164",702,700,165,0.93%,0%,194,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/JE.png,JE,Jersey,"110,778",116,120,932,0.92%,0%,195,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/TO.png,TO,Tonga,"106,858",747,720,150,0.86%,0%,196,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/SC.png,SC,Seychelles,"107,118",452,460,234,0.51%,0%,197,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/AW.png,AW,Aruba,"106,445",180,180,590,-0.16%,0%,198,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/VC.png,VC,Saint Vincent And The Grenadines,"103,948",389,390,266,-0.24%,0%,199,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/VI.png,VI,United States Virgin Islands,"99,465",347,347,285,-0.72%,0%,200,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/AG.png,AG,Antigua And Barbuda,"93,763",442,440,214,0.57%,0%,201,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/IM.png,IM,Isle Of Man,"84,519",572,570,149,0.23%,0%,202,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/AD.png,AD,Andorra,"79,824",468,470,170,0.33%,0%,203,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/DM.png,DM,Dominica,"72,737",751,750,97,0.42%,0%,204,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/KY.png,KY,Cayman Islands,"68,706",264,240,289,0.88%,0%,205,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/BM.png,BM,Bermuda,"64,184",54,54,"1,186",-0.18%,0%,206,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/GG.png,GG,Guernsey,"63,301",78,63,"1,009",0.38%,0%,207,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/GL.png,GL,Greenland,"56,466",2.2M,410.4K,0.14,0.31%,0%,208,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/FO.png,FO,Faroe Islands,"53,090",1.4K,1.4K,39,0.34%,0%,209,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/MP.png,MP,Northern Mariana Islands,"49,551",464,460,108,0.49%,0%,210,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/KN.png,KN,Saint Kitts And Nevis,"47,657",261,260,184,0.21%,0%,211,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/TC.png,TC,Turks And Caicos Islands,"45,703",948,948,49,0.79%,0%,212,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/SX.png,SX,Sint Maarten,"44,175",34,34,"1,301",0.11%,0%,213,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/AS.png,AS,American Samoa,"44,273",199,200,220,-0.81%,0%,214,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/MH.png,MH,Marshall Islands,"41,569",181,180,233,1.03%,0%,215,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/LI.png,LI,Liechtenstein,"39,327",160,160,247,0.65%,0%,216,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/MC.png,MC,Monaco,"36,469",2,2,"18,149",-0.47%,0%,217,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/SM.png,SM,San Marino,"33,660",61,60,561,-0.05%,0%,218,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/GI.png,GI,Gibraltar,"32,649",7,7,"4,807",0.12%,0%,219,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/MF.png,MF,Saint Martin,"31,791",53,50,642,0.9%,0%,220,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/VG.png,VG,British Virgin Islands,"31,305",151,150,210,0.74%,0%,221,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/PW.png,PW,Palau,"18,055",459,460,39,0.02%,0%,222,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/CK.png,CK,Cook Islands,"17,011",240,240,71,0.19%,0%,223,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/AI.png,AI,Anguilla,"15,857",91,91,175,0.26%,0%,224,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/NR.png,NR,Nauru,"12,668",21,20,639,0.88%,0%,225,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/WF.png,WF,Wallis And Futuna,"11,572",274,274,42,-0.6%,0%,226,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/TV.png,TV,Tuvalu,"11,312",26,30,380,0.74%,0%,227,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/BL.png,BL,Saint Barthelemy,"10,967",21,25,440,0.25%,0%,228,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/PM.png,PM,Saint Pierre And Miquelon,"5,862",242,242,24,-0.38%,,229,2050
https://s3.amazonaws.com/images.wpr.com/flags/24/MS.png,MS,Montserrat,"4,390",102,102,43,-0.09%,,230,2050
